step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,119,0,35,13,132,0,2547.0,21.403361344537814,9.31120920717297,35,2548.0,0.5995687228824412,35,2548.0
245.0,122,0,37,13,135,0,2725.0,22.33606557377049,9.188267119508314,37,2726.0,0.5834201069426802,37,2726.0
250.0,127,1,39,14,141,0,2915.0,22.95275590551181,8.970300924731436,39,2916.0,0.5573012046086601,39,2916.0
255.0,129,0,42,15,144,0,3120.0,24.186046511627907,9.055661903910492,42,3121.0,0.551903166940312,42,3121.0
260.0,134,0,42,17,151,0,3330.0,24.850746268656717,9.139691046564208,42,3331.0,0.5668926904561584,42,3331.0
265.0,137,0,42,19,156,0,3540.0,25.83941605839416,9.086747190978445,42,3541.0,0.5664378891526671,42,3541.0
270.0,138,0,45,22,160,0,3759.0,27.23913043478261,8.972965305908547,45,3760.0,0.5471724548852062,45,3760.0
275.0,143,1,46,24,167,0,3988.0,27.888111888111887,9.001368426653544,46,3989.0,0.5535395445133098,46,3989.0
280.0,145,0,51,27,172,0,4226.0,29.144827586206898,8.545205629706189,51,4227.0,0.5104654846049055,51,4227.0
285.0,153,0,54,28,181,0,4492.0,29.359477124183005,8.465994511266354,54,4493.0,0.5110440039030019,54,4493.0
290.0,154,1,59,33,187,0,4774.0,31.0,8.046706586037557,59,4775.0,0.4761085596498855,59,4775.0
295.0,156,0,61,37,193,0,5079.0,32.55769230769231,7.917115364340557,61,5080.0,0.4735866355984381,61,5080.0
300.0,160,0,65,38,198,0,5398.0,33.7375,7.862430078503505,65,5399.0,0.464070888938518,65,5399.0
305.0,162,0,66,41,203,0,5725.0,35.339506172839506,7.708308957051793,66,5726.0,0.4428265931941043,66,5726.0
310.0,165,0,68,42,207,0,6064.0,36.75151515151515,7.850899263035594,68,6065.0,0.4576405068382063,68,6065.0
315.0,168,0,68,43,211,0,6404.0,38.11904761904762,7.833679210683427,68,6405.0,0.4546311310227514,68,6405.0
320.0,169,0,69,47,216,0,6748.0,39.928994082840234,7.7677061004709085,69,6749.0,0.4502213606316887,69,6749.0
325.0,169,0,72,52,221,0,7099.0,42.005917159763314,7.568123778982462,72,7100.0,0.43563798241043983,72,7100.0
330.0,168,0,74,57,225,0,7465.0,44.43452380952381,7.321921339576785,74,7466.0,0.4192342333853802,74,7466.0
335.0,177,0,77,58,235,0,7845.0,44.32203389830509,7.1721856370488295,77,7846.0,0.416873436446478,77,7846.0
340.0,183,1,82,60,243,0,8248.0,45.07103825136612,7.1575063927829525,82,8249.0,0.4116059598026489,82,8249.0
345.0,185,1,85,66,251,0,8666.0,46.84324324324324,6.983118167131006,85,8667.0,0.41132980404301844,85,8667.0
350.0,187,0,89,71,258,0,9103.0,48.67914438502674,6.765793450963541,89,9104.0,0.3991140470595869,89,9104.0
355.0,194,0,91,72,266,0,9553.0,49.24226804123711,6.803582983244626,91,9554.0,0.4041599343080641,91,9554.0
360.0,196,1,95,76,272,0,10016.0,51.10204081632653,6.594501520577747,95,10017.0,0.39344530239837233,95,10017.0
365.0,205,1,97,77,282,0,10493.0,51.18536585365854,6.704772969954466,97,10494.0,0.40373828823737107,97,10494.0
370.0,207,0,100,80,287,0,10987.0,53.07729468599034,6.709344555377411,100,10988.0,0.40965864128598883,100,10988.0
375.0,209,0,101,83,292,0,11492.0,54.985645933014354,6.644967251448228,101,11493.0,0.40720964287302786,101,11493.0
380.0,209,1,105,87,296,0,12011.0,57.4688995215311,6.383212177573444,105,12012.0,0.3932744847684007,105,12012.0
385.0,214,0,109,90,304,0,12549.0,58.64018691588785,6.322559263361219,109,12550.0,0.39219968079958184,109,12550.0
390.0,219,0,111,92,311,0,13102.0,59.82648401826484,6.3909027959331155,111,13103.0,0.38626323492878895,111,13103.0
395.0,224,1,112,96,320,0,13660.0,60.982142857142854,6.451817969146625,112,13661.0,0.38681812975740804,112,13661.0
400.0,227,2,113,98,325,0,14225.0,62.66519823788546,6.53485555387098,113,14226.0,0.38021059293830534,113,14226.0
405.0,235,0,116,99,334,0,14801.0,62.98297872340426,6.484096510532213,116,14802.0,0.36882968913401826,116,14802.0
410.0,237,0,122,101,338,0,15403.0,64.9915611814346,6.372670832530267,122,15404.0,0.34170707830026636,122,15404.0
415.0,239,1,127,103,342,0,16030.0,67.07112970711297,6.265159284487417,127,16031.0,0.33195670285753276,127,16031.0
420.0,243,1,129,107,350,0,16673.0,68.61316872427983,6.130195597491484,129,16674.0,0.3269202814823343,129,16674.0
425.0,255,0,136,108,363,0,17339.0,67.99607843137255,6.0059015441246535,136,17340.0,0.3146203948058947,136,17340.0
430.0,260,0,144,109,369,0,18039.0,69.38076923076923,5.856768364902222,144,18040.0,0.30138499772882266,144,18040.0
435.0,270,1,146,112,382,0,18766.0,69.5037037037037,5.874858131054806,146,18767.0,0.31315366471450756,146,18767.0
440.0,278,3,153,115,393,0,19515.0,70.1978417266187,5.8654408541681,153,19516.0,0.32219099122332595,153,19516.0
445.0,285,2,157,121,406,0,20295.0,71.21052631578948,5.886672401758042,157,20296.0,0.3353457803134337,157,20296.0
450.0,292,1,159,127,419,0,21086.0,72.21232876712328,5.943380973450055,159,21087.0,0.34782107134737655,159,21087.0
455.0,299,1,161,130,429,0,21890.0,73.21070234113712,6.051429796586775,161,21891.0,0.36023197782737965,161,21891.0
460.0,306,0,163,132,438,0,22703.0,74.19281045751634,6.2106241859714135,163,22704.0,0.3684307054679827,163,22704.0
465.0,307,0,167,138,445,0,23524.0,76.62540716612378,5.896113772865039,167,23525.0,0.35287775878105127,167,23525.0
470.0,310,0,174,144,454,0,24386.0,78.66451612903226,5.730437674813836,174,24387.0,0.34896333187696504,174,24387.0
475.0,320,2,179,147,467,0,25271.0,78.971875,5.670129804405403,179,25272.0,0.3433209501256864,179,25272.0
480.0,333,1,187,151,484,0,26186.0,78.63663663663664,5.655217068285826,187,26188.0,0.34759996073559873,187,26188.0
485.0,344,0,193,153,497,0,27140.0,78.8953488372093,5.717164702715012,193,27142.0,0.34924680094667343,193,27142.0
490.0,349,0,199,154,503,0,28120.0,80.57306590257879,5.566714456919436,199,28122.0,0.334174034942584,199,28122.0
495.0,356,1,206,156,512,0,29136.0,81.84269662921348,5.515173764695091,206,29138.0,0.3237908648641662,206,29138.0
500.0,361,0,209,157,518,0,30174.0,83.58448753462604,5.48367916879375,209,30176.0,0.3080000488796343,209,30176.0
505.0,366,0,214,161,527,0,31231.0,85.33060109289617,5.491317160782789,214,31233.0,0.3090125627680774,214,31233.0
510.0,371,2,215,167,538,0,32304.0,87.07277628032345,5.35562738152529,215,32306.0,0.3037272687589663,215,32306.0
515.0,380,0,220,170,550,0,33393.0,87.87631578947368,5.308141193155204,220,33395.0,0.2922318208332585,220,33395.0
520.0,385,0,229,173,558,0,34521.0,89.66493506493507,5.1222693907398975,229,34523.0,0.2776221361737766,229,34523.0
525.0,388,0,237,177,565,0,35691.0,91.98711340206185,5.020327185523054,237,35693.0,0.2676695961579025,237,35693.0
530.0,400,0,240,179,579,0,36888.0,92.22,5.13591622227754,240,36890.0,0.2746953624852109,240,36890.0
535.0,401,2,246,184,585,0,38112.0,95.0423940149626,4.991340096453329,246,38114.0,0.2568189146531025,246,38114.0
540.0,409,0,251,186,595,0,39363.0,96.24205378973105,5.076360811007529,251,39365.0,0.2613479042046841,251,39365.0
545.0,417,0,254,189,606,0,40626.0,97.42446043165468,5.099643230550319,254,40628.0,0.2577911073280032,254,40628.0
550.0,421,1,259,196,617,0,41912.0,99.55344418052256,4.893774493810047,259,41914.0,0.25133335108597293,259,41914.0
555.0,427,0,267,202,629,0,43231.0,101.24355971896955,4.844751328602429,267,43233.0,0.24624091977188434,267,43233.0
560.0,427,0,272,208,635,0,44583.0,104.40983606557377,4.726432159718914,272,44585.0,0.23968963843440158,272,44585.0
565.0,432,2,279,213,645,0,45961.0,106.39120370370371,4.613014577189786,279,45963.0,0.23569564351016162,279,45963.0
570.0,444,1,286,217,661,0,47379.0,106.70945945945945,4.599254128162611,286,47381.0,0.23545143678633615,286,47381.0
575.0,452,0,288,223,675,0,46083.0,101.95353982300885,4.441796988365573,288,48825.0,0.23575922479793898,288,48825.0
580.0,458,0,268,228,686,0,36268.0,79.1877729257642,4.477699003448168,268,44906.0,0.2456539227959454,268,44906.0
585.0,462,0,255,231,693,0,31171.0,67.46969696969697,4.6385396847438845,255,43441.0,0.25701170462225376,255,43441.0
590.0,465,0,238,238,703,0,26586.0,57.174193548387095,4.840504503849591,238,40083.0,0.2644966514293863,238,40083.0
595.0,470,0,225,242,712,0,23320.0,49.61702127659574,5.206855854111937,225,37003.0,0.2738900453362327,225,37003.0
600.0,476,0,198,245,721,0,19146.0,40.22268907563025,5.563139182721202,198,33984.0,0.28351702977784954,198,33984.0
605.0,476,1,171,254,730,0,16558.0,34.785714285714285,5.991938794022334,171,31112.0,0.30852782338011736,171,31112.0
610.0,481,0,164,258,739,0,15756.0,32.75675675675676,6.411330970588158,164,28761.0,0.3264932989977978,164,28761.0
615.0,490,2,151,265,755,0,15057.0,30.728571428571428,6.690823577129903,151,26880.0,0.3414408371995062,151,26880.0
620.0,496,0,147,270,766,0,14833.0,29.905241935483872,6.899358016372446,147,25443.0,0.34910097864756373,147,25443.0
625.0,504,0,136,271,775,0,14742.0,29.25,7.095560094797073,136,23529.0,0.34989114483909,136,23529.0
630.0,510,0,134,274,784,0,15043.0,29.49607843137255,7.50271223939888,134,22602.0,0.3740138554586503,134,22602.0
635.0,519,0,139,279,798,0,15595.0,30.048169556840076,7.722813411901171,139,22112.0,0.39053532037009114,139,22112.0
640.0,524,2,145,286,810,0,16283.0,31.07442748091603,7.891074183891797,145,21729.0,0.40571586288524186,145,21729.0
645.0,528,1,143,292,820,0,16940.0,32.083333333333336,7.987823335272327,143,21480.0,0.4085566665100199,143,21480.0
650.0,521,0,149,306,827,0,16694.0,32.04222648752399,7.601916518553773,149,21812.0,0.3784517289747671,149,21812.0
655.0,520,1,159,314,834,0,13890.0,26.71153846153846,7.28771274889808,159,20837.0,0.3608269577787913,159,20837.0
660.0,515,0,180,329,844,0,12895.0,25.038834951456312,6.830548372885471,180,20825.0,0.33488896692823295,180,20825.0
665.0,503,0,197,349,852,0,11921.0,23.69980119284294,6.36591278756094,197,21790.0,0.3115079075201497,197,21790.0
670.0,496,2,212,368,864,0,9375.0,18.901209677419356,5.797157150829123,212,20889.0,0.28563783045312635,212,20889.0
675.0,492,0,224,381,873,0,7790.0,15.833333333333334,5.363961872085228,224,21997.0,0.2634152147251106,224,21997.0
680.0,483,0,222,400,883,0,5203.0,10.772256728778467,4.884148456545207,222,21969.0,0.24988007548394497,222,21969.0
685.0,484,2,222,408,892,0,4346.0,8.979338842975206,4.8351319936932295,222,22467.0,0.24808110712699993,222,22467.0
690.0,487,0,218,421,908,0,4219.0,8.663244353182751,5.009472124909439,218,22439.0,0.26091135547656036,218,22439.0
695.0,478,1,217,439,917,0,4727.0,9.889121338912133,5.186014007997997,217,22596.0,0.2721204619570087,217,22596.0
700.0,478,0,229,450,928,0,5781.0,12.094142259414227,5.383157975633117,229,22951.0,0.2798195464271665,229,22951.0
705.0,483,2,234,458,941,0,6941.0,14.370600414078675,5.814625872457221,234,23435.0,0.30508969682604997,234,23435.0
710.0,489,0,239,464,953,0,8126.0,16.61758691206544,6.0838378150561345,239,24137.0,0.31335918975988725,239,24137.0
715.0,497,2,246,467,964,0,9344.0,18.800804828973842,6.37432028820698,246,25014.0,0.3171637954604342,246,25014.0
720.0,508,0,249,468,976,0,10581.0,20.828740157480315,6.486694702700385,249,26109.0,0.3078397577213679,249,26109.0
725.0,524,0,254,469,993,0,11843.0,22.60114503816794,6.547666659630951,254,27338.0,0.30082793479205094,254,27338.0
730.0,527,1,258,472,999,0,12652.0,24.007590132827325,6.332005224965369,258,28626.0,0.28014972025483115,258,28626.0
735.0,536,0,247,475,1011,0,11606.0,21.652985074626866,6.194480931801117,247,28074.0,0.27634621118856745,247,28074.0
740.0,536,1,236,486,1022,0,11106.0,20.720149253731343,6.229943539236177,236,28432.0,0.2905671633995439,236,28432.0
745.0,541,1,222,494,1035,0,10413.0,19.247689463955638,6.398052458761438,222,28108.0,0.304474000356644,222,28108.0
750.0,542,0,209,505,1047,0,9716.0,17.92619926199262,6.684985999751727,209,27573.0,0.3185922738120977,209,27573.0
755.0,537,0,196,523,1060,0,8942.0,16.651769087523277,6.80427323207621,196,27048.0,0.3296728153042525,196,27048.0
760.0,532,1,183,538,1070,0,8287.0,15.577067669172932,6.8942896461533225,183,26267.0,0.34065747461826995,183,26267.0
765.0,536,0,163,549,1085,0,8137.0,15.180970149253731,7.206979232532634,163,25652.0,0.3676799939806457,163,25652.0
770.0,539,0,168,562,1101,0,8337.0,15.467532467532468,7.021536304822806,168,26063.0,0.36399714512273634,168,26063.0
775.0,535,2,182,581,1116,0,7987.0,14.928971962616822,6.547930334023495,182,25552.0,0.3417223174117841,182,25552.0
780.0,536,0,192,592,1128,0,7828.0,14.604477611940299,6.258721946157597,192,26501.0,0.3283198014668524,192,26501.0
785.0,539,0,208,604,1143,0,7136.0,13.239332096474953,6.030933487280133,208,25455.0,0.31993325683404694,208,25455.0
790.0,547,2,225,609,1156,0,6839.0,12.50274223034735,5.859525055417642,225,25717.0,0.3111412061236026,225,25717.0
795.0,551,1,245,618,1169,0,6604.0,11.985480943738658,5.630062081418386,245,25601.0,0.299486373050708,245,25601.0
