step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
240.0,126,0,31,6,132,0,2322.0,18.428571428571427,9.220206008893593,31,2323.0,0.6101264703038145,31,2323.0
245.0,124,0,34,11,135,0,2486.0,20.048387096774192,9.11398085906053,34,2487.0,0.581660803020064,34,2487.0
250.0,130,1,37,11,141,0,2656.0,20.43076923076923,9.115088852455912,37,2669.0,0.5496220882684572,37,2669.0
255.0,131,0,40,13,144,0,2852.0,21.770992366412212,9.179448705465573,40,2853.0,0.5561526374491734,40,2853.0
260.0,134,0,38,17,151,0,3021.0,22.544776119402986,9.077426993973162,38,3056.0,0.5612793750893911,38,3056.0
265.0,138,0,37,18,156,0,3186.0,23.08695652173913,9.024336817037772,37,3187.0,0.5751660426152749,37,3187.0
270.0,140,0,41,20,160,0,3378.0,24.12857142857143,8.764827197855606,41,3384.0,0.5394476091742705,41,3384.0
275.0,144,1,48,23,167,0,3609.0,25.0625,8.723755128766749,48,3610.0,0.5296347228468411,48,3610.0
280.0,145,0,46,27,172,0,3814.0,26.30344827586207,8.60730616574104,46,3855.0,0.5234003654070579,46,3855.0
285.0,152,0,48,29,181,0,4029.0,26.50657894736842,8.368055355293794,48,4030.0,0.5249123294040914,48,4030.0
290.0,158,0,55,30,188,0,4284.0,27.11392405063291,8.136025283177633,55,4285.0,0.48656177997052286,55,4285.0
295.0,160,0,60,33,193,0,4577.0,28.60625,8.020405238158052,60,4578.0,0.4717671082838117,60,4578.0
300.0,163,0,61,35,198,0,4846.0,29.73006134969325,7.865163977747776,61,4890.0,0.4572899433719875,61,4890.0
305.0,161,0,58,42,203,0,5111.0,31.74534161490683,7.940291985395468,58,5116.0,0.5004634595003133,58,5116.0
310.0,161,0,60,46,207,0,5405.0,33.57142857142857,7.641861422508021,60,5410.0,0.46692127948026024,60,5410.0
315.0,163,0,68,48,211,0,5737.0,35.19631901840491,7.576494317831624,68,5742.0,0.4520873805938719,68,5742.0
320.0,167,0,68,49,216,0,6030.0,36.10778443113772,7.289204845203935,68,6093.0,0.4233115711825388,68,6093.0
325.0,169,0,65,52,221,0,6324.0,37.42011834319526,7.021322762100937,65,6329.0,0.4256258460884063,65,6329.0
330.0,170,0,75,55,225,0,6670.0,39.23529411764706,6.691578105267568,75,6675.0,0.3859473272101148,75,6675.0
335.0,179,0,83,56,235,0,7074.0,39.5195530726257,6.930200781920268,83,7079.0,0.39534849896660357,83,7079.0
340.0,186,0,83,58,244,0,7438.0,39.98924731182796,6.735376182330764,83,7503.0,0.37750234727450716,83,7503.0
345.0,191,0,79,61,252,0,7776.0,40.712041884816756,6.6421596763827715,79,7805.0,0.3898990039352443,79,7805.0
350.0,191,0,87,67,258,0,8188.0,42.86910994764398,6.5703684338512796,87,8223.0,0.3877268524706914,87,8223.0
355.0,196,1,93,69,265,0,8642.0,44.09183673469388,6.733058904001948,93,8672.0,0.39044645021861146,93,8672.0
360.0,202,0,91,71,273,0,9057.0,44.836633663366335,6.802529360099946,91,9126.0,0.40190808483909984,91,9126.0
365.0,207,0,85,76,283,0,9418.0,45.4975845410628,6.917266783605781,85,9450.0,0.4362345359686392,85,9450.0
370.0,209,0,94,78,287,0,9863.0,47.19138755980861,6.615927991557634,94,9895.0,0.39958924220918657,94,9895.0
375.0,212,0,104,80,292,0,10375.0,48.93867924528302,6.6258968426702465,104,10407.0,0.39189034183471605,104,10407.0
380.0,214,1,103,82,296,0,10860.0,50.74766355140187,6.480733349857965,103,10933.0,0.3797182724256904,103,10933.0
385.0,220,0,101,84,304,0,11329.0,51.49545454545454,6.1867873531563955,101,11345.0,0.36893182487657145,101,11345.0
390.0,223,0,111,88,311,0,11863.0,53.19730941704036,6.189455503662297,111,11879.0,0.37151939123617694,111,11879.0
395.0,229,1,118,91,320,0,12436.0,54.30567685589519,6.225646131281385,118,12452.0,0.37818018072138715,118,12452.0
400.0,234,1,118,92,326,0,12976.0,55.452991452991455,5.858616770565545,118,13027.0,0.3492429977297454,118,13027.0
405.0,240,0,110,94,334,0,13442.0,56.00833333333333,5.66934395774234,110,13501.0,0.3447587335716544,110,13501.0
410.0,237,0,112,101,338,0,13992.0,59.037974683544306,5.766300598053463,112,14012.0,0.3549473549000016,112,14012.0
415.0,241,1,123,101,342,0,14148.0,58.70539419087137,5.777905320663132,123,14603.0,0.3291801554895068,123,14603.0
420.0,247,0,124,104,351,0,13507.0,54.68421052631579,5.657740523609274,124,14417.0,0.31258447315945964,124,14417.0
425.0,256,0,125,107,363,0,12015.0,46.93359375,5.665407807488224,125,15052.0,0.3183531490798019,125,15052.0
430.0,258,0,113,111,369,0,6245.0,24.205426356589147,5.617969730386547,113,12153.0,0.32437349738945004,113,12153.0
435.0,270,0,96,113,383,0,3424.0,12.681481481481482,6.3046479106676765,96,10897.0,0.3742158131977442,96,10897.0
440.0,282,1,78,113,395,0,1729.0,6.131205673758865,7.174167208118278,78,8842.0,0.4242801460998636,78,8842.0
445.0,289,1,65,118,407,0,1086.0,3.7577854671280275,7.411547481188212,65,9187.0,0.43305414100124084,65,9187.0
450.0,300,0,52,120,420,0,631.0,2.1033333333333335,7.455714230736763,52,9115.0,0.44648345724877136,52,9115.0
455.0,309,0,70,121,430,0,852.0,2.7572815533980584,7.7168950605433375,70,9302.0,0.46346125279486666,70,9302.0
460.0,313,0,89,125,438,0,1257.0,4.015974440894569,7.792234088555391,89,9492.0,0.4603038971340566,89,9492.0
465.0,313,0,105,132,445,0,1761.0,5.626198083067092,7.816977134241601,105,9939.0,0.44406193813683514,105,9939.0
470.0,320,1,118,133,453,0,2331.0,7.284375,7.751116947490883,118,10483.0,0.4273377425416107,118,10483.0
475.0,328,1,131,140,468,0,2966.0,9.042682926829269,7.668261880090605,131,11120.0,0.42299880816242313,131,11120.0
480.0,340,2,139,143,483,0,3642.0,10.711764705882352,7.736523219116528,139,11796.0,0.4302037310290168,139,11796.0
485.0,350,1,145,146,496,0,4347.0,12.42,7.66393505024309,145,12501.0,0.4274211705574665,145,12501.0
490.0,351,0,148,152,503,0,5082.0,14.478632478632479,7.449684167376894,148,13236.0,0.406923554912644,148,13236.0
495.0,349,1,156,163,512,0,5844.0,16.744985673352435,7.165113460766792,156,13998.0,0.38888423458530874,156,13998.0
500.0,351,0,160,167,518,0,6635.0,18.903133903133902,7.030948578522401,160,14789.0,0.37038689261960517,160,14789.0
505.0,354,1,168,172,526,0,7459.0,21.070621468926554,6.868137444963608,168,15613.0,0.3570225339738223,168,15613.0
510.0,359,1,169,180,539,0,8298.0,23.114206128133706,6.803834946550639,169,16454.0,0.36284728664145544,169,16454.0
515.0,360,0,170,190,550,0,8721.0,24.225,6.398623132135751,170,17070.0,0.3441187917512766,170,17070.0
520.0,357,0,156,201,558,0,7445.0,20.85434173669468,6.122444473244422,156,15396.0,0.341761631250413,156,15396.0
525.0,354,0,145,211,565,0,6566.0,18.548022598870055,6.078428932479011,145,14905.0,0.34120778934066903,145,14905.0
530.0,359,1,130,219,578,0,5583.0,15.551532033426184,6.384770352337274,130,13071.0,0.362071368462416,130,13071.0
